e_issn,journal_title,license,publisher
2001-015X,Journal of Intelligence Studies in Business (JISIB),CC BY,Halmstad University
2001-0370,Computational and Structural Biotechnology Journal,"CC BY, CC BY-NC-ND",Elsevier
2001-094X,Tidskrift för Litteraturvetenskap,CC BY,Föreningen för utgivande av Tidskrift för litteraturvetenskap
2001-1326,Clinical and Translational Medicine,CC BY,Wiley
2001-3078,Journal of Extracellular Vesicles,CC BY,Wiley
2001-3310,Offentlig Förvaltning: Scandinavian Journal of Public Administration (SJPA),CC BY-NC-ND,University of Gothenburg
2001-4554,Utbildning & Lärande,CC BY,Dalarna university
2001-4562,"Confero: Essays on Education, Philosophy and Politics",CC BY,Linköping University Electronic Press
2001-5119,Nordicom Review,CC BY-NC-ND,Sciendo
2001-5909,Lindbergia,CC BY,Oikos Editorial Office
2001-5992,Valuation Studies,CC BY,Linköping University Electronic Press
2001-6131,Forskning om Undervisning och Lärande,CC BY,Lärarstiftelsen
2001-6689,Journal of Market Access & Health Policy,CC BY,Taylor & Francis Group
2001-7286,Lambda Nordica,CC BY-ND,Association Lambda Nordica
2001-7316,Utbildning & Demokrati (Utbildning och Demokrati: Tidsskrift för Didaktik och Utbildningspolitik),Publisher's own license,Örebro University
2001-7324,Orientalia Suecana,CC BY,"Department of Linguistics and Philology, Uppsala University"
2001-7413,Scandinavian Journal of Public Administration,CC BY-NC,University of Gothenburg
2001-7480,Designs for Learning,CC BY,Stockholm University Press
2001-8525,European Clinical Respiratory Journal,"CC BY, CC BY-NC",Taylor & Francis Group
2001-9076,Nordic Journal of Educational History (NJEDH),CC BY,Umeå University
2001-9424,Svensk Exegetisk Årsbok,CC BY-NC-ND,Svenska exegetiska sällskapet (Swedish Exegetical Society)
2001-967X,Textos en Proceso,CC BY,ASICE - Asociación Internacional para los Estudios de la Comunicación en Español
2001-9866,Sjuttonhundratal (1700-tal),CC BY,Septentrio Academic Publishing
2002-0104,Rural Landscapes: Society Environment History,CC BY,Stockholm University Press
2002-0317,Nordic Journal of Studies in Educational Policy,"CC BY, CC BY-NC",Taylor & Francis Group
2002-0503,Nordisk Museologi (Nordic Museology),CC BY-NC-ND,"Centre for Museum Studies, Department of Culture Studies and Oriental Languages, University of Oslo"
2002-066X,Sociologisk Forskning,CC BY-NC-ND,Swedish Sociological Association
2002-0953,Parse Journal,CC BY-NC-ND,University of Gothenburg
2002-2867,Scandinavian Journal of Work and Organizational Psychology,CC BY,Stockholm University Press
2002-3901,Current Swedish Archaeology,CC BY,Svenska Arkeologiska Samfundet
2002-4436,WikiJournal of Medicine,"CC BY, CC BY-SA, CC0",WikiJournal User Group
2002-4509,Iberoamericana: Nordic Journal of Latin American and Caribbean Studies,CC BY,Stockholm University Press
2002-4665,European Journal of Philosophy in Arts Education (EJPAE),CC BY,University College of Music Education in Stockholm (SMI)
2003-0177,Journal for Person-Oriented Research,Publisher's own license,Lund University Library
2003-024X,Vis (Vis: Nordic Journal for Artistic Research),CC BY-NC-ND,Stockholm University of the Arts
2003-0401,Revue Nordique des Études Francophones (Nordic Journal of Francophone Studies),CC BY,Stockholm University Press
2003-0711,Journal of Rehabilitation Medicine - Clinical Communications,"CC BY, CC BY-NC",Medical Journals Sweden
2003-0924,Swedish Journal of Romanian Studies,CC BY-NC,"Centre for Languages and Literature, Lund University"
2003-184X,Nordic Journal of Media Studies,CC BY-NC-ND,Sciendo
2003-1998,Journal of Digital Social Research (JDSR),CC BY-SA,DIGSUM
2003-2714,Meta-Psychology,CC BY,LnuOpen
2003-296X,Futhark: International Journal of Runic Studies,CC BY,University of Oslo & Uppsala University
2003-3605,JPHE (Journal of Praxis in Higher Education),CC BY-NC-ND,University of Borås
2003-539X,Journal of Endovascular Resuscitation and Trauma Management (JEVTM),CC BY,Örebro University
2003-6248,Svensk Teologisk Kvartalskrift (Swedish Theological Quarterly),CC BY-NC-ND,Svensk Teologisk Kvartalskrift
2003-8046,"Nordic Journal of Transitions, Careers and Guidance",CC BY,Stockholm University Press
2004-0288,Kulturella Perspektiv (Kulturella Perspektiv: Svensk Etnologisk Tidskrift),CC BY,Föreningen Kulturella Perspektiv
2004-1969,Journal of Anomalous Experience and Cognition (JAEX),CC BY,Parapsychology Foundation
2004-3082,Traffic Safety Research,CC BY,"Technology and Society, Faculty of Engineering, LTH, Lund University"
2004-3910,Släkthistoriska Studier,CC BY,Genealogical Society of Sweden
2004-4852,Lychnos (Lychnos: Årsbok för Idé- och Lärdomshistoria),CC BY,Lärdomshistoriska samfundet
2004-5190,Educare,CC BY-NC,Malmö University Press
2004-5417,"Hybrid (Hybrid: Mellan Akademi, Kyrka & Samhälle)",CC BY-NC-SA,Akademi för Ledarskap och Teologi
2005-0399,Journal of Gynecologic Oncology,CC BY-NC,Asian Society of Gynecologic Oncology
2005-0720,Clinical and Experimental Otorhinolaryngology (CEO),CC BY-NC,Korean Society of Otorhinolaryngology-Head and Neck Surgery
2005-1212,Gut and Liver,CC BY-NC,Gastroenterology Council for Gut and Liver
2005-4408,Clinics in Orthopedic Surgery,CC BY-NC,Korean Orthopaedic Association
2005-5013,Journal of Clinical Neurology,CC BY-NC,Korean Neurological Association
2005-6184,Tuberculosis and Respiratory Diseases (Tuber Respir Dis),CC BY-NC,The Korean Academy of Tuberculosis and Respiratory Diseases
2005-6648,"The Korean Journal of Internal Medicine (Korean J Intern Med, KJIM)",CC BY-NC,The Korean Association of Internal Medicine
2005-7288,Korean Journal of Medical Education (KJME),CC BY-NC,Korean Society of Medical Education
2005-7563,Korean Journal of Anesthesiology,CC BY-NC,Korean Society of Anesthesiologists
2007-0705,Nova Scientia,CC BY,Universidad De La Salle Bajío
2007-1094,Apertura (Apertura: Revista de Innovación Educativa),Publisher's own license,Universidad de Guadalajara
2007-1868,Stoa,CC BY-NC-SA,Universidad Veracruzana
2007-2023,"Archivos de Criminología, Seguridad Privada y Criminalística",CC BY-NC,Sociedad Mexicana de Criminología capítulo Nuevo León
2007-2422,Tecnología y ciencias del agua,CC BY-NC-SA,Instituto Mexicano de Tecnología del Agua
2007-2996,Revista de Investigación Educativa de la Escuela de Graduados en Educación,CC BY-NC-ND,Tecnológico de Monterrey
2007-3283,Programación Matemática y Software,CC BY,Universidad Autónoma del Estado de Morelos
2007-3364,Therya,CC BY-NC-ND,Asociacion Mexicana de Mastozoología A.C.
2007-3380,Revista Bio Ciencias (Bio Ciencias),CC BY-NC-ND,Universidad Autónoma de Nayarit
2007-3496,América Latina en la Historia Económica,CC BY-NC,Insitituto de Investigaciones Dr. José María Luis Mora
2007-3917,Universita Ciencia (Revista electrónica de investigación de la universidad de Xalapa),CC BY-NC-SA,Universidad de Xalapa
2007-4018,Revista Chapingo: Serie Ciencias Forestales y del Ambiente,CC BY-NC,Universidad Autónoma Chapingo
2007-4034,Revista Chapingo Serie Horticultura,CC BY-NC-ND,Universidad Autónoma Chapingo
2007-4042,Novarua: Revista Universitaria de Administración (Revista Universitaria de Administración),CC BY-NC-SA,Universidad Autónoma de Ciudad Juárez
2007-4476,Botan‪ical Sciences,CC BY-NC,"Sociedad Botánica de México, A. C."
2007-5227,Política Común,CC BY,Michigan Publishing
2007-5235,Mexican Journal of Medical Research ICSA,CC BY-NC-ND,Universidad Autónoma del Estado de Hidalgo
2007-5448,ReCIBE,CC BY-NC-SA,Universidad de Guadalajara
2007-5545,Biolex (Revista Jurídica del Departamento de Derecho),CC BY-NC-ND,Universidad de Sonora
2007-5618,Fuentes Humanísticas,CC BY,"UAM, Unidad Azcapotzalco, División de Ciencias Sociales y Humanidades"
2007-5936,Psicumex,CC BY-NC-ND,Universidad de Sonora
2007-6576,Sociedad y Ambiente,CC BY-SA,El Colegio de la Frontera Sur
2007-6703,ESPACIO I+D: Innovación más Desarrollo,CC BY-NC-SA,Universidad Autónoma de Chiapas
2007-6835,Revista ALCONPAT,CC BY,"Asociación Latinoamericana de Control de Calidad, Patología y Recuperación de la Construcción"
2007-6940,Revista Biológico Agropecuaria Tuxpan,CC BY,Editorial Agrícola Tuxpan
2007-7033,Sinéctica (Revista Electrónica de Educación),CC BY-NC,Instituto Tecnológico y de Estudios Superiores de Occidente
2007-7149,Revista de Psicología,CC BY-NC-SA,Universidad Autónoma del Estado de México
2007-7335,Revista Mexicana de Historia de la Educación,CC BY-NC-SA,Sociedad Mexicana de Historia de la Educación
2007-736X,Cuadernos de Lingüística de El Colegio de México,CC BY,"El Colegio de México, A.C."
2007-7459,Horizonte Sanitario,CC BY-NC-SA,Universidad Juárez Autónoma de Tabasco
2007-7610,EntreDiversidades: Revista de Ciencias Sociales y Humanidades,CC BY-NC-ND,Universidad Autónoma de Chiapas
2007-8064,Entreciencias: Diálogos en la Sociedad del Conocimiento,CC BY-NC-ND,Universidad Nacional Autónoma de México
2007-8196,"Epistemus (Epistemus: Ciencia , Tecnología y Salud)",CC BY-NC-SA,Universidad de Sonora
2007-8447,Revista Biomédica,CC BY,Universidad Autónoma de Yucatán
2007-8498,Tópicos,CC BY-NC-SA,Universidad Panamericana
2007-8706,Revista Mexicana de Biodiversidad (RMB),CC BY-NC-ND,Universidad Nacional Autónoma de México
2007-8714,Lux Médica,CC BY-NC-SA,Universidad Autónoma de Aguascalientes
2007-8773,Gremium,CC BY-NC-ND,Restauro Compás y Canto (RCC)
2007-8900,Liminar: Estudios Sociales y Humanísticos,CC BY-NC-SA,Universidad de Ciencias y Artes de Chiapas
2007-8951,Problemas del Desarrollo (Problemas del Desarrollo: Revista Latinoamericana de Economía),CC BY-NC-ND,Instituto de Investigaciones Económicas
2007-901X,Ecosistemas y Recursos Agropecuarios,CC BY-NC-ND,Universidad Juárez Autónoma de Tabasco
2007-9117,RIESED (Revista Internacional de Estudios sobre Sistemas Educativos),CC BY,Educación y Formación Profesional S.C.
2007-9176,Iztapalapa (Revista de Ciencias Sociales y Humanidades),CC BY-NC-ND,Universidad Autónoma Metropolitana Unidad Iztapalapa
2007-977X,UPGTO,CC BY-NC-ND,Universidad Politécnica de Guanajuato
2007-9834,Internaciones,CC BY-NC-SA,Universidad de Guadalajara
2007-9877,Revista Nicolaita de Estudios Económicos,CC BY-NC-ND,Universidad Michoacana de San Nicolás de Hidalgo
2008-0255,Dental Research Journal,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2008-0387,Journal of Medical Ethics and History of Medicine,CC BY-NC,Tehran University of Medical Sciences
2008-0778,International Journal of Fertility and Sterility,CC BY-NC,"Royan Institute (ACECR), Tehran"
2008-0883,علوم و تکنولوژی پلیمر (Iranian Journal of Polymer Science and Technology (IJPST)),CC BY-NC-ND,Iran Polymer and Petrochemical Institute
2008-1375,Majallah-i Dānishgāh-i ̒Ulūm-i Pizishkī-i Qum (Journal of Qum University of Medical Sciences),CC BY,Qom University of Medical Sciences
2008-188X,حیات (Hayat Journal),CC BY-NC,Tehran University of Medical Sciences
2008-2118,"Journal of Dental Research, Dental Clinics, Dental Prospects",CC BY,Tabriz University of Medical Sciences
2008-2169,منظر (Manzar),CC BY,"Nazar research center for Art, Architecture & Urbanism"
2008-2177,Iranian Journal of Reproductive Medicine (IJRM),CC BY,"Shahid Sadoughi University of Medical Science, Yazd, Iran"
2008-2207,International Journal of Hematology-Oncology and Stem Cell Research,CC BY-NC,Tehran University of Medical Sciences
2008-2215,Iranian Journal of Psychiatry,CC BY-NC,Tehran University of Medical Sciences
2008-2347,Journal of Mashhad Dental School (Majallah-i Dānishkadah-i Dandānpizishkī-i Mashhad),CC BY-NC,Mashhad University of Medical Sciences
2008-2363,"Majallah-i Zanān, Māmā̓ī va Nāzā̓ī-i Īrān (Iranian Journal of Obstetrics, Gynecology and Infertility)",CC BY-ND,Mashhad University of Medical Sciences
2008-2371,Journal of Tehran University Heart Center,CC BY-NC,Tehran University of Medical Sciences
2008-238X,Iranian Journal of Parasitology,CC BY-NC,Tehran University of Medical Sciences
2008-2444,Journal of Dental Medicine,CC BY-NC,Tehran University of Medical Sciences
2008-2606,مجله پژوهش در علوم توانبخشی (Journal of Research in Rehabilitation Sciences),CC BY-NC,Vesnu Publications
2008-2630,طب جانباز (Iranian Journal of War and Public Health),CC BY-NC,Afarand Scholarly Publishing Institute
2008-2665,پیاورد سلامت (Journal of Payavard Salamat),CC BY-NC,Tehran University of Medical Sciences
2008-2673,Majallah-i Dānishkadah-i Pizishkī-i Dānishgāh-i ̒ Ulūm-i Pizishkī-i Mashhad. (Medical Journal of Mashhad University of Medical Sciences),CC BY-NC,Mashhad University of Medical Sciences
2008-2746,Iranian Endodontic Journal,CC BY-NC-SA,Iranian Association of Endodontists; Iranian Center for Endodontic Research
2008-2797,مجله مهندسی شیمی ایران (Journal of Iranian Chemical Engineering),CC BY-NC-ND,Iranian Association of Chemical Engineering
2008-2843,Journal of Kerman University of Medical Sciences (مجله دانشگاه علوم پزشکی کرمان),CC BY,Kerman University of Medical Sciences
2008-3076,Isecure (The ISC International Journal of Information Security),CC BY,Iranian Society of Criptology
2008-322X,Journal of Ophthalmic & Vision Research,CC BY,Knowledge E
2008-370X,Journal of Evidence-Based Care,CC BY-NC-SA,Mashhad University of Medical Sciences
2008-3718,سلامت و محیط (Health and Environment),CC BY-NC,Tehran University of Medical Sciences
2008-3874,Iranian Journal of Basic Medical Sciences,CC BY-NC,Mashhad University of Medical Sciences
2008-4056,مجله دانشگاه علوم پزشکی گیلان (Journal of Guilan University of Medical Sciences),CC BY-NC,Guilan University of Medical Sciences
2008-4080,مجله دانشگاه علوم پزشکی گرگان (Journal of Gorgan University of Medical Sciences),CC BY-NC,Golestan University of Medical Sciences
2008-4153,Majallah-i Pizishkī-i Urūmiyyah (Urmia Medical Journal),CC BY-NC,Urmia University Medical Sciences
2008-4447,Iranian Journal of Microbiology,CC BY-NC,Tehran University of Medical Sciences
2008-4536,Payesh (Health Monitor),CC BY-NC,Iranian Institute for Health Sciences Research
2008-4609,Iranian Journal of Blood and Cancer (IJBC),CC BY-NC,iranian pediatric hematology and oncology society
2008-4846,Interdisciplinary Studies in the Humanities,CC BY,Iranian Institute for Social and Cultural Studies
2008-5249,Middle East Journal of Digestive Diseases,CC BY-NC,"Iranian Association of Gastroenterology and Hepatology, Shiraz University of Medical Sciences"
2008-5427,Iranian Journal of Optimization (IJO),Publisher's own license,"Islamic Azad University, Rasht Branch"
2008-5435,International Journal of Occupational Hygiene,CC BY-NC,Tehran University of Medical Sciences
2008-5842,Electronic Physician,CC BY-NC-ND,Electronic Physician
2008-5931,نشریه پرستاری ایران (Iran Journal of Nursing),CC BY-NC,Iran University of Medical Sciences
2008-6172,Caspian Journal of Internal Medicine,CC BY-NC,Babol University of Medical Sciences
2008-644X,Majallah-i dānishgāh-i ̒ulūm-i pizishkī-i Arāk (Arak Medical University Journal),CC BY-NC,Arak Medical University
2008-6490,International Journal of Organ Transplantation Medicine,CC BY-NC-SA,Shiraz University of Medical Sciences
2008-6687,Middle East Journal of Cancer (MEJC),CC BY,Shiraz University of Medical Sciences
2008-6830,Journal of Cardiovascular and Thoracic Research,CC BY,Tabriz University of Medical Sciences
2008-6970,International Aquatic Research (IAR),CC BY,Islamic Azad University​
2008-6989,مجله دانشکده دندانپزشکی اصفهان (Journal of Isfahan Dental School),CC BY-NC,Isfahan University of Medical Sciences
2008-7403,تولید گیاهان زراعی (Crop Production),CC BY-NC,Gorgan University of Agricultural Sciences and Natural Resources
2008-8213,International Journal of Preventive Medicine,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2008-823X,Iranian Biomedical Journal (IBJ),CC BY-ND,Pasteur Institute of Iran
2008-8248,Taḥqīqāt-i ̒Ulūm-i Raftārī (Journal of Research in Behavioral Sciences),CC BY-NC,Armaqan Danesh Firoozeh
2008-8310,International Journal of Information Science and Management,CC BY,Regional Information Center for Science and Technology (RICeST)
2008-8442,فصلنامه دانشگاه علوم پزشکی جهرم (Journal of Jahrom University of Medical Sciences),CC BY-NC-ND,Jahrom University of Medical Sciences
